++++ Test string argument ++++
test: expr toto               , output: 'toto'  , status:  0
test: expr 42 '%' -42         , output: '0'     , status:  1
test: expr 42 '%' 5           , output: '2'     , status:  0
test: expr -42 '%' 0          , output: ''      , status:  2
test: expr -42 '%' ''         , output: ''      , status:  2
test: expr -42 '%' abcd       , output: ''      , status:  2
test: expr -42 '%' bcde       , output: ''      , status:  2
test: expr -42 '%' 42         , output: '0'     , status:  1
test: expr -42 '%' -42        , output: '0'     , status:  1
test: expr -42 '%' 5          , output: '3'     , status:  0
test: expr 5 '%' 0            , output: ''      , status:  2
test: expr 5 '%' ''           , output: ''      , status:  2
test: expr 5 '%' abcd         , output: ''      , status:  2
test: expr 5 '%' bcde         , output: ''      , status:  2
test: expr 5 '%' 42           , output: '5'     , status:  0
test: expr 5 '%' -42          , output: '-37'   , status:  0
test: expr 5 '%' 5            , output: '0'     , status:  1

++++ Test & operator ++++
test: expr 0 '&' 0            , output: '0'     , status:  1
test: expr 0 '&' ''           , output: '0'     , status:  1
test: expr 0 '&' abcd         , output: '0'     , status:  1
test: expr 0 '&' bcde         , output: '0'     , status:  1
test: expr 0 '&' 42           , output: '0'     , status:  1
test: expr 0 '&' -42          , output: '0'     , status:  1
test: expr 0 '&' 5            , output: '0'     , status:  1
test: expr '' '&' 0           , output: '0'     , status:  1
test: expr '' '&' ''          , output: '0'     , status:  1
test: expr '' '&' abcd        , output: '0'     , status:  1
test: expr '' '&' bcde        , output: '0'     , status:  1
test: expr '' '&' 42          , output: '0'     , status:  1
test: expr '' '&' -42         , output: '0'     , status:  1
test: expr '' '&' 5           , output: '0'     , status:  1
test: expr abcd '&' 0         , output: '0'     , status:  1
test: expr abcd '&' ''        , output: '0'     , status:  1
test: expr abcd '&' abcd      , output: 'abcd'  , status:  0
test: expr abcd '&' bcde      , output: 'abcd'  , status:  0
test: expr abcd '&' 42        , output: 'abcd'  , status:  0
test: expr abcd '&' -42       , output: 'abcd'  , status:  0
test: expr abcd '&' 5         , output: 'abcd'  , status:  0
test: expr bcde '&' 0         , output: '0'     , status:  1
test: expr bcde '&' ''        , output: '0'     , status:  1
test: expr bcde '&' abcd      , output: 'bcde'  , status:  0
test: expr bcde '&' bcde      , output: 'bcde'  , status:  0
test: expr bcde '&' 42        , output: 'bcde'  , status:  0
test: expr bcde '&' -42       , output: 'bcde'  , status:  0
test: expr bcde '&' 5         , output: 'bcde'  , status:  0
test: expr 42 '&' 0           , output: '0'     , status:  1
test: expr 42 '&' ''          , output: '0'     , status:  1
test: expr 42 '&' abcd        , output: '42'    , status:  0
test: expr 42 '&' bcde        , output: '42'    , status:  0
test: expr 42 '&' 42          , output: '42'    , status:  0
test: expr 42 '&' -42         , output: '42'    , status:  0
test: expr 42 '&' 5           , output: '42'    , status:  0
test: expr -42 '&' 0          , output: '0'     , status:  1
test: expr -42 '&' ''         , output: '0'     , status:  1
test: expr -42 '&' abcd       , output: '-42'   , status:  0
test: expr -42 '&' bcde       , output: '-42'   , status:  0
test: expr -42 '&' 42         , output: '-42'   , status:  0
test: expr -42 '&' -42        , output: '-42'   , status:  0
test: expr -42 '&' 5          , output: '-42'   , status:  0
test: expr 5 '&' 0            , output: '0'     , status:  1
test: expr 5 '&' ''           , output: '0'     , status:  1
test: expr 5 '&' abcd         , output: '5'     , status:  0
test: expr 5 '&' bcde         , output: '5'     , status:  0
test: expr 5 '&' 42           , output: '5'     , status:  0
test: expr 5 '&' -42          , output: '5'     , status:  0
test: expr 5 '&' 5            , output: '5'     , status:  0

++++ Test | operator ++++
test: expr 0 '|' 0            , output: '0'     , status:  1
test: expr 0 '|' ''           , output: '0'     , status:  1
test: expr 0 '|' abcd         , output: 'abcd'  , status:  0
test: expr 0 '|' bcde         , output: 'bcde'  , status:  0
test: expr 0 '|' 42           , output: '42'    , status:  0
test: expr 0 '|' -42          , output: '-42'   , status:  0
test: expr 0 '|' 5            , output: '5'     , status:  0
test: expr '' '|' 0           , output: '0'     , status:  1
test: expr '' '|' ''          , output: '0'     , status:  1
test: expr '' '|' abcd        , output: 'abcd'  , status:  0
test: expr '' '|' bcde        , output: 'bcde'  , status:  0
test: expr '' '|' 42          , output: '42'    , status:  0
test: expr '' '|' -42         , output: '-42'   , status:  0
test: expr '' '|' 5           , output: '5'     , status:  0
test: expr abcd '|' 0         , output: 'abcd'  , status:  0
test: expr abcd '|' ''        , output: 'abcd'  , status:  0
test: expr abcd '|' abcd      , output: 'abcd'  , status:  0
test: expr abcd '|' bcde      , output: 'abcd'  , status:  0
test: expr abcd '|' 42        , output: 'abcd'  , status:  0
test: expr abcd '|' -42       , output: 'abcd'  , status:  0
test: expr abcd '|' 5         , output: 'abcd'  , status:  0
test: expr bcde '|' 0         , output: 'bcde'  , status:  0
test: expr bcde '|' ''        , output: 'bcde'  , status:  0
test: expr bcde '|' abcd      , output: 'bcde'  , status:  0
test: expr bcde '|' bcde      , output: 'bcde'  , status:  0
test: expr bcde '|' 42        , output: 'bcde'  , status:  0
test: expr bcde '|' -42       , output: 'bcde'  , status:  0
test: expr bcde '|' 5         , output: 'bcde'  , status:  0
test: expr 42 '|' 0           , output: '42'    , status:  0
test: expr 42 '|' ''          , output: '42'    , status:  0
test: expr 42 '|' abcd        , output: '42'    , status:  0
test: expr 42 '|' bcde        , output: '42'    , status:  0
test: expr 42 '|' 42          , output: '42'    , status:  0
test: expr 42 '|' -42         , output: '42'    , status:  0
test: expr 42 '|' 5           , output: '42'    , status:  0
test: expr -42 '|' 0          , output: '-42'   , status:  0
test: expr -42 '|' ''         , output: '-42'   , status:  0
test: expr -42 '|' abcd       , output: '-42'   , status:  0
test: expr -42 '|' bcde       , output: '-42'   , status:  0
test: expr -42 '|' 42         , output: '-42'   , status:  0
test: expr -42 '|' -42        , output: '-42'   , status:  0
test: expr -42 '|' 5          , output: '-42'   , status:  0
test: expr 5 '|' 0            , output: '5'     , status:  0
test: expr 5 '|' ''           , output: '5'     , status:  0
test: expr 5 '|' abcd         , output: '5'     , status:  0
test: expr 5 '|' bcde         , output: '5'     , status:  0
test: expr 5 '|' 42           , output: '5'     , status:  0
test: expr 5 '|' -42          , output: '5'     , status:  0
test: expr 5 '|' 5            , output: '5'     , status:  0

32
1
0
0
1
1
0
1
1
1
1
0
1
0
